state_abbr,year,crimes
AL,2006,5557
AL,2007,5407
AL,2008,5062
AL,2009,4880
AL,2010,4603
AL,2011,4521
AL,2012,4419
AL,2013,4825
AL,2014,4143
AL,2015,4804
AL,2016,3412
AL,2017,3531
AL,2018,2171
AL,2019,4415
AR,2006,159417
AR,2007,173832
AR,2008,200510
AR,2009,252766
AR,2010,247738
AR,2011,254703
AR,2012,252888
AR,2013,236541
AR,2014,216850
AR,2015,227979
AR,2016,243397
AR,2017,238657
AR,2018,243839
AR,2019,231214
AZ,2006,7526
AZ,2007,8707
AZ,2008,9365
AZ,2009,19324
AZ,2010,19123
AZ,2011,17836
AZ,2012,17154
AZ,2013,27570
AZ,2014,27118
AZ,2015,24531
AZ,2016,22970
AZ,2017,25625
AZ,2018,24418
AZ,2019,27833
CO,2006,287313
CO,2007,265301
CO,2008,268855
CO,2009,265235
CO,2010,264937
CO,2011,270732
CO,2012,311042
CO,2013,300821
CO,2014,302143
CO,2015,319632
CO,2016,335191
CO,2017,346297
CO,2018,349905
CO,2019,320717
CT,2006,91792
CT,2007,110573
CT,2008,137600
CT,2009,130985
CT,2010,128788
CT,2011,124069
CT,2012,119461
CT,2013,112056
CT,2014,108487
CT,2015,108080
CT,2016,118190
CT,2017,120087
CT,2018,122583
CT,2019,121278
DC,2006,3144
DC,2007,3636
DC,2008,3831
DC,2009,4139
DC,2010,4638
DC,2011,3721
DC,2012,3555
DC,2013,3897
DC,2014,3651
DC,2015,3602
DC,2016,4052
DC,2017,3768
DC,2018,3576
DC,2019,4792
DE,2006,108071
DE,2007,107281
DE,2008,111550
DE,2009,103541
DE,2010,100413
DE,2011,99385
DE,2012,97540
DE,2013,92796
DE,2014,91034
DE,2015,86287
DE,2016,87232
DE,2017,81681
DE,2018,77545
DE,2019,77259
GA,2018,1400
GA,2019,88677
HI,2018,49725
HI,2019,50539
IA,2006,197133
IA,2007,185410
IA,2008,174983
IA,2009,169939
IA,2010,164641
IA,2011,167055
IA,2012,161100
IA,2013,156785
IA,2014,151080
IA,2015,158014
IA,2016,162802
IA,2017,165279
IA,2018,114695
IA,2019,142619
ID,2006,94903
ID,2007,95297
ID,2008,89463
ID,2009,87632
ID,2010,86875
ID,2011,88490
ID,2012,86999
ID,2013,85921
ID,2014,84391
ID,2015,85697
ID,2016,89379
ID,2017,92586
ID,2018,93349
ID,2019,83037
IL,2006,32369
IL,2007,29258
IL,2008,28280
IL,2009,25186
IL,2010,23438
IL,2011,21255
IL,2012,21679
IL,2013,19934
IL,2014,18615
IL,2015,17856
IL,2016,17185
IL,2017,16960
IL,2018,17392
IL,2019,16039
IN,2013,61
IN,2014,7038
IN,2015,7274
IN,2016,9966
IN,2017,19692
IN,2018,36723
IN,2019,106310
KS,2006,190917
KS,2007,195337
KS,2008,192387
KS,2009,180446
KS,2010,184641
KS,2011,183903
KS,2012,189022
KS,2013,177834
KS,2014,160719
KS,2015,159544
KS,2016,166282
KS,2017,177614
KS,2018,164312
KS,2019,163935
KY,2006,18114
KY,2007,11987
KY,2008,16879
KY,2009,145678
KY,2010,153170
KY,2011,176032
KY,2012,190278
KY,2013,182385
KY,2014,204635
KY,2015,249249
KY,2016,254125
KY,2017,261143
KY,2018,251392
KY,2019,238952
LA,2006,34316
LA,2007,37815
LA,2008,36502
LA,2009,35693
LA,2010,45639
LA,2011,50940
LA,2012,43024
LA,2013,45226
LA,2014,45471
LA,2015,56791
LA,2016,53972
LA,2017,59214
LA,2018,61779
LA,2019,57597
MA,2006,260140
MA,2007,278255
MA,2008,303051
MA,2009,295914
MA,2010,297299
MA,2011,286941
MA,2012,283450
MA,2013,272188
MA,2014,251935
MA,2015,237164
MA,2016,227831
MA,2017,215660
MA,2018,197708
MA,2019,197585
MD,2018,32684
MD,2019,49805
ME,2006,9041
ME,2007,17603
ME,2008,19302
ME,2009,17787
ME,2010,17829
ME,2011,19018
ME,2012,20340
ME,2013,20581
ME,2014,18653
ME,2015,17533
ME,2016,19182
ME,2017,17243
ME,2018,19835
ME,2019,23325
MI,2006,779250
MI,2007,735084
MI,2008,699489
MI,2009,676439
MI,2010,651590
MI,2011,615119
MI,2012,615198
MI,2013,573669
MI,2014,539300
MI,2015,533983
MI,2016,554682
MI,2017,527133
MI,2018,505592
MI,2019,456721
MN,2018,22882
MN,2019,94118
MO,2007,1743
MO,2008,619
MO,2009,4462
MO,2010,65572
MO,2011,65592
MO,2012,71934
MO,2013,69685
MO,2014,70709
MO,2015,70980
MO,2016,73007
MO,2017,79939
MO,2018,102868
MO,2019,134152
MS,2018,32611
MS,2019,45530
MT,2006,60747
NB,2015,39112
NB,2017,49068
NB,2018,47616
NB,2019,44989
NC,2019,525637
ND,2006,33616
ND,2007,32929
ND,2008,33596
ND,2009,33521
ND,2010,32830
ND,2011,35660
ND,2012,41054
ND,2013,41975
ND,2014,45954
ND,2015,50946
ND,2016,51529
ND,2017,52837
ND,2018,51568
ND,2019,50485
NE,2006,36095
NE,2007,35380
NE,2008,35850
NE,2009,37419
NE,2010,37123
NE,2011,36815
NE,2012,37677
NE,2013,36178
NE,2014,36382
NE,2016,41888
NH,2006,61878
