bin,year,crime
"(530000, 3000000]",2008,1135545
"(530000, 3000000]",2009,1147890
"(530000, 3000000]",2010,1115624
"(530000, 3000000]",2011,1117754
"(530000, 3000000]",2012,1141033
"(530000, 3000000]",2013,1078978
"(530000, 3000000]",2014,895689
"(530000, 3000000]",2015,883837
"(530000, 3000000]",2016,945266
"(530000, 3000000]",2017,227819
"(530000, 3000000]",2018,279354
"(530000, 3000000]",2019,215042
"(3000000, 6000000]",2008,884083
"(3000000, 6000000]",2009,957010
"(3000000, 6000000]",2010,1024967
"(3000000, 6000000]",2011,1060655
"(3000000, 6000000]",2012,1116953
"(3000000, 6000000]",2013,1092010
"(3000000, 6000000]",2014,1254935
"(3000000, 6000000]",2015,1382027
"(3000000, 6000000]",2016,1450378
"(3000000, 6000000]",2017,796921
"(3000000, 6000000]",2018,792775
"(3000000, 6000000]",2019,793040
"(6000000, 8000000]",2008,889943
"(6000000, 8000000]",2009,1313525
"(6000000, 8000000]",2010,1300726
"(6000000, 8000000]",2011,1342163
"(6000000, 8000000]",2012,1459456
"(6000000, 8000000]",2013,1434118
"(6000000, 8000000]",2014,1019052
"(6000000, 8000000]",2015,1010380
"(6000000, 8000000]",2016,1056123
"(6000000, 8000000]",2017,861682
"(6000000, 8000000]",2018,838847
"(6000000, 8000000]",2019,796318
"(8000000, 11000000]",2008,634990
"(8000000, 11000000]",2009,617838
"(8000000, 11000000]",2010,597205
"(8000000, 11000000]",2011,564424
"(8000000, 11000000]",2012,562587
"(8000000, 11000000]",2013,522879
"(8000000, 11000000]",2014,888550
"(8000000, 11000000]",2015,881103
"(8000000, 11000000]",2016,902468
"(8000000, 11000000]",2017,394859
"(8000000, 11000000]",2018,379568
"(8000000, 11000000]",2019,375695
"(11000000, 14000000]",2008,549010
"(11000000, 14000000]",2009,548097
"(11000000, 14000000]",2010,546553
"(11000000, 14000000]",2011,539055
"(11000000, 14000000]",2012,523106
"(11000000, 14000000]",2013,506618
"(11000000, 14000000]",2014,496790
"(11000000, 14000000]",2015,486546
"(11000000, 14000000]",2016,498532
"(11000000, 14000000]",2017,503195
"(11000000, 14000000]",2018,477694
"(11000000, 14000000]",2019,444997
"(14000000, 17000000]",2008,0
"(14000000, 17000000]",2009,0
"(14000000, 17000000]",2010,0
"(14000000, 17000000]",2011,0
"(14000000, 17000000]",2012,0
"(14000000, 17000000]",2013,0
"(14000000, 17000000]",2014,0
"(14000000, 17000000]",2015,0
"(14000000, 17000000]",2016,0
"(14000000, 17000000]",2017,0
"(14000000, 17000000]",2018,0
"(14000000, 17000000]",2019,0
"(17000000, 19000000]",2008,0
"(17000000, 19000000]",2009,0
"(17000000, 19000000]",2010,0
"(17000000, 19000000]",2011,0
"(17000000, 19000000]",2012,0
"(17000000, 19000000]",2013,0
"(17000000, 19000000]",2014,0
"(17000000, 19000000]",2015,0
"(17000000, 19000000]",2016,0
"(17000000, 19000000]",2017,0
"(17000000, 19000000]",2018,0
"(17000000, 19000000]",2019,0
"(19000000, 22000000]",2008,0
"(19000000, 22000000]",2009,0
"(19000000, 22000000]",2010,0
"(19000000, 22000000]",2011,0
"(19000000, 22000000]",2012,0
"(19000000, 22000000]",2013,0
"(19000000, 22000000]",2014,0
"(19000000, 22000000]",2015,0
"(19000000, 22000000]",2016,0
"(19000000, 22000000]",2017,0
"(19000000, 22000000]",2018,0
"(19000000, 22000000]",2019,0
"(22000000, 25000000]",2008,259871
"(22000000, 25000000]",2009,254035
"(22000000, 25000000]",2010,235651
"(22000000, 25000000]",2011,0
"(22000000, 25000000]",2012,0
"(22000000, 25000000]",2013,0
"(22000000, 25000000]",2014,0
"(22000000, 25000000]",2015,0
"(22000000, 25000000]",2016,0
"(22000000, 25000000]",2017,0
"(22000000, 25000000]",2018,0
"(22000000, 25000000]",2019,0
"(25000000, 29000000]",2008,0
"(25000000, 29000000]",2009,0
"(25000000, 29000000]",2010,0
"(25000000, 29000000]",2011,221764
"(25000000, 29000000]",2012,205896
"(25000000, 29000000]",2013,189139
"(25000000, 29000000]",2014,190420
"(25000000, 29000000]",2015,197568
"(25000000, 29000000]",2016,201688
"(25000000, 29000000]",2017,269585
"(25000000, 29000000]",2018,569911
"(25000000, 29000000]",2019,901223
