state_abbr,year,Not a Crime,Person,Property,Society
AL,2006,,782.0,3409.0,448.0
AL,2007,,865.0,3524.0,373.0
AL,2008,,867.0,3306.0,456.0
AL,2009,,833.0,3008.0,529.0
AL,2010,,848.0,2837.0,467.0
AL,2011,,758.0,2912.0,453.0
AL,2012,,844.0,2783.0,408.0
AL,2013,,724.0,3242.0,463.0
AL,2014,,716.0,2834.0,321.0
AL,2015,,777.0,3182.0,433.0
AL,2016,,819.0,1791.0,447.0
AR,2006,3.0,29858.0,91649.0,12458.0
AR,2007,2.0,32769.0,100552.0,13118.0
AR,2008,2.0,37496.0,114682.0,14452.0
AR,2009,2.0,53075.0,141482.0,16559.0
AR,2010,7.0,51854.0,136756.0,17331.0
AR,2011,1.0,51810.0,144559.0,15639.0
AR,2012,3.0,50115.0,142956.0,16717.0
AR,2013,1.0,46660.0,132536.0,16884.0
AR,2014,3.0,43158.0,120339.0,17309.0
AR,2015,1.0,46858.0,123307.0,18925.0
AR,2016,8.0,46926.0,130004.0,23286.0
AZ,2006,,989.0,4236.0,512.0
AZ,2007,,1067.0,4947.0,577.0
AZ,2008,,934.0,5250.0,787.0
AZ,2009,,1879.0,10509.0,1853.0
AZ,2010,,2085.0,9588.0,2163.0
AZ,2011,,1795.0,9013.0,1997.0
AZ,2012,,2102.0,8632.0,1889.0
AZ,2013,,3245.0,13929.0,2725.0
AZ,2014,,3313.0,13441.0,2713.0
AZ,2015,1.0,2793.0,13196.0,2184.0
AZ,2016,1.0,2593.0,11336.0,2917.0
CO,2006,13.0,32171.0,184655.0,24987.0
CO,2007,8.0,30384.0,168281.0,22753.0
CO,2008,5.0,28290.0,171128.0,23848.0
CO,2009,11.0,32810.0,164943.0,22830.0
CO,2010,16.0,33153.0,167016.0,21604.0
CO,2011,12.0,34860.0,169911.0,21942.0
CO,2012,9.0,38557.0,192632.0,27288.0
CO,2013,15.0,40126.0,192167.0,20622.0
CO,2014,17.0,40777.0,189168.0,23366.0
CO,2015,16.0,41656.0,202142.0,23728.0
CO,2016,24.0,42262.0,209149.0,27006.0
CT,2006,,13938.0,51061.0,8577.0
CT,2007,,18294.0,58645.0,11026.0
CT,2008,,21107.0,71944.0,13794.0
CT,2009,,21231.0,67529.0,12868.0
CT,2010,,19393.0,67513.0,13393.0
CT,2011,,20516.0,64660.0,12771.0
CT,2012,1.0,20996.0,64381.0,10979.0
CT,2013,1.0,18355.0,61011.0,11694.0
CT,2014,1.0,17921.0,60767.0,10756.0
CT,2015,,17372.0,61293.0,10633.0
CT,2016,,17925.0,67542.0,12093.0
DC,2006,,690.0,1781.0,137.0
DC,2007,,659.0,2055.0,109.0
DC,2008,,724.0,2260.0,118.0
DC,2009,,746.0,2453.0,182.0
DC,2010,,744.0,2741.0,318.0
DC,2011,,717.0,2105.0,290.0
DC,2012,,641.0,2218.0,202.0
DC,2013,,765.0,2315.0,433.0
DC,2014,,779.0,1830.0,560.0
DC,2015,,973.0,1864.0,333.0
DC,2016,,1130.0,1911.0,474.0
DE,2006,,16859.0,49846.0,8775.0
DE,2007,,17830.0,48568.0,8022.0
DE,2008,,17373.0,50845.0,7553.0
DE,2009,3.0,18110.0,45520.0,7735.0
DE,2010,1.0,17467.0,46032.0,6962.0
DE,2011,,17564.0,46071.0,6690.0
DE,2012,1.0,14465.0,46296.0,7906.0
DE,2013,,13825.0,41551.0,9294.0
DE,2014,3.0,12222.0,41822.0,9264.0
DE,2015,2.0,14044.0,37177.0,9871.0
DE,2016,,13164.0,40262.0,9379.0
IA,2006,,29450.0,123722.0,14188.0
IA,2007,4.0,30054.0,113843.0,13918.0
IA,2008,2.0,28930.0,107687.0,13484.0
IA,2009,6.0,28238.0,102854.0,13298.0
IA,2010,,28821.0,97016.0,14329.0
IA,2011,2.0,26716.0,100729.0,14965.0
IA,2012,2.0,25688.0,95253.0,15531.0
IA,2013,,24800.0,91297.0,15783.0
IA,2014,4.0,24059.0,87732.0,15251.0
IA,2015,5.0,25890.0,90734.0,15986.0
IA,2016,5.0,24874.0,93137.0,18230.0
ID,2006,1.0,16585.0,52067.0,10620.0
ID,2007,2.0,16623.0,51707.0,10445.0
ID,2008,,16102.0,47739.0,9779.0
ID,2009,,15384.0,46845.0,9623.0
ID,2010,,14692.0,45758.0,10116.0
ID,2011,,14808.0,46050.0,10783.0
ID,2012,2.0,13769.0,45165.0,11221.0
ID,2013,2.0,13958.0,42639.0,11620.0
ID,2014,,14132.0,41341.0,12039.0
ID,2015,2.0,14127.0,40413.0,12542.0
ID,2016,,14036.0,40462.0,14507.0
IL,2006,,5802.0,16842.0,1744.0
IL,2007,,6176.0,14518.0,1688.0
IL,2008,,5388.0,15008.0,1370.0
IL,2009,,5132.0,13369.0,1251.0
IL,2010,,5187.0,11969.0,1199.0
IL,2011,,4474.0,11167.0,1173.0
IL,2012,,4262.0,11367.0,1148.0
IL,2013,,4434.0,9935.0,1249.0
IL,2014,,3880.0,9794.0,1091.0
IL,2015,,4301.0,9085.0,905.0
IL,2016,,4034.0,8764.0,841.0
IN,2013,,17.0,31.0,6.0
IN,2014,,970.0,1770.0,2667.0
IN,2015,,1027.0,1691.0,2918.0
IN,2016,,1004.0,1810.0,4391.0
KS,2006,2.0,38316.0,108765.0,13480.0
KS,2007,1.0,35966.0,111837.0,14369.0
KS,2008,1.0,35861.0,111386.0,12964.0
KS,2009,,35668.0,100878.0,12796.0
KS,2010,,38437.0,98093.0,14022.0
KS,2011,2.0,34824.0,101103.0,14238.0
KS,2012,3.0,36881.0,102175.0,14821.0
KS,2013,,34256.0,94682.0,14579.0
KS,2014,3.0,31178.0,83843.0,13633.0
KS,2015,,28719.0,84460.0,14749.0
KS,2016,1.0,31610.0,88032.0,15702.0
KY,2006,,2905.0,10343.0,1974.0
KY,2007,,2317.0,6570.0,1315.0
KY,2008,,2758.0,9272.0,1610.0
KY,2009,5.0,19013.0,77891.0,20339.0
KY,2010,1.0,19993.0,83593.0,21248.0
KY,2011,8.0,24342.0,97874.0,21916.0
KY,2012,11.0,24855.0,106657.0,23411.0
KY,2013,3.0,22882.0,98844.0,23991.0
KY,2014,8.0,26665.0,108471.0,27329.0
KY,2015,19.0,32557.0,130091.0,34394.0
KY,2016,14.0,34340.0,129094.0,35408.0
LA,2006,,8299.0,16937.0,3288.0
LA,2007,,9725.0,19228.0,3752.0
LA,2008,,9521.0,19756.0,3259.0
LA,2009,,9445.0,18289.0,3319.0
LA,2010,,11275.0,23360.0,3889.0
LA,2011,,12297.0,26839.0,3760.0
LA,2012,,8433.0,24552.0,3883.0
LA,2013,,9446.0,22591.0,5090.0
LA,2014,,9707.0,22358.0,5422.0
LA,2015,,12119.0,27198.0,6749.0
LA,2016,,11916.0,25505.0,6594.0
MA,2006,1.0,48466.0,160358.0,15180.0
MA,2007,,55666.0,168761.0,16681.0
MA,2008,,59373.0,179804.0,17997.0
MA,2009,,57589.0,180702.0,12322.0
MA,2010,1.0,63270.0,175640.0,13790.0
MA,2011,,59470.0,170890.0,13466.0
MA,2012,,56387.0,169934.0,15037.0
MA,2013,,53398.0,164016.0,14403.0
MA,2014,,54749.0,147854.0,12911.0
MA,2015,,52666.0,138777.0,12545.0
MA,2016,,51983.0,130895.0,11733.0
ME,2006,1.0,1436.0,5441.0,912.0
ME,2007,,3406.0,10333.0,1634.0
ME,2008,1.0,3529.0,11261.0,1792.0
ME,2009,,3000.0,10428.0,1697.0
ME,2010,,3137.0,10236.0,1696.0
ME,2011,,3312.0,11363.0,1492.0
ME,2012,,3303.0,12087.0,1846.0
ME,2013,,3727.0,11924.0,1926.0
ME,2014,,3425.0,10558.0,2031.0
ME,2015,,3365.0,9919.0,1889.0
ME,2016,,3735.0,10530.0,2142.0
