state_abbr,year,holiday,non-holiday,total
AL,2006,722.0,3917.0,4639.0
AL,2007,846.0,3916.0,4762.0
AL,2008,808.0,3821.0,4629.0
AL,2009,679.0,3691.0,4370.0
AL,2010,692.0,3460.0,4152.0
AL,2011,714.0,3409.0,4123.0
AL,2012,710.0,3325.0,4035.0
AL,2013,712.0,3717.0,4429.0
AL,2014,623.0,3248.0,3871.0
AL,2015,789.0,3603.0,4392.0
AL,2016,503.0,2554.0,3057.0
AR,2006,21344.0,112624.0,133968.0
AR,2007,22263.0,124178.0,146441.0
AR,2008,25691.0,140941.0,166632.0
AR,2009,33121.0,177997.0,211118.0
AR,2010,32835.0,173113.0,205948.0
AR,2011,34097.0,177912.0,212009.0
AR,2012,32738.0,177053.0,209791.0
AR,2013,28368.0,167713.0,196081.0
AR,2014,28169.0,152640.0,180809.0
AR,2015,30503.0,158588.0,189091.0
AR,2016,31891.0,168333.0,200224.0
AZ,2006,1099.0,4638.0,5737.0
AZ,2007,967.0,5624.0,6591.0
AZ,2008,2697.0,4274.0,6971.0
AZ,2009,2178.0,12063.0,14241.0
AZ,2010,2211.0,11625.0,13836.0
AZ,2011,2083.0,10722.0,12805.0
AZ,2012,2053.0,10570.0,12623.0
AZ,2013,3048.0,16851.0,19899.0
AZ,2014,3101.0,16366.0,19467.0
AZ,2015,2652.0,15522.0,18174.0
AZ,2016,2613.0,14234.0,16847.0
CO,2006,35736.0,206090.0,241826.0
CO,2007,32341.0,189085.0,221426.0
CO,2008,35386.0,187885.0,223271.0
CO,2009,33343.0,187251.0,220594.0
CO,2010,34274.0,187515.0,221789.0
CO,2011,35567.0,191158.0,226725.0
CO,2012,40041.0,218445.0,258486.0
CO,2013,39016.0,213914.0,252930.0
CO,2014,38316.0,215012.0,253328.0
CO,2015,41937.0,225605.0,267542.0
CO,2016,43688.0,234753.0,278441.0
CT,2006,12224.0,61352.0,73576.0
CT,2007,11956.0,76009.0,87965.0
CT,2008,16535.0,90310.0,106845.0
CT,2009,15838.0,85790.0,101628.0
CT,2010,15476.0,84823.0,100299.0
CT,2011,16232.0,81715.0,97947.0
CT,2012,14727.0,81630.0,96357.0
CT,2013,14031.0,77030.0,91061.0
CT,2014,14012.0,75433.0,89445.0
CT,2015,14532.0,74766.0,89298.0
CT,2016,16085.0,81475.0,97560.0
DC,2006,409.0,2199.0,2608.0
DC,2007,537.0,2286.0,2823.0
DC,2008,461.0,2641.0,3102.0
DC,2009,615.0,2766.0,3381.0
DC,2010,526.0,3277.0,3803.0
DC,2011,512.0,2600.0,3112.0
DC,2012,456.0,2605.0,3061.0
DC,2013,564.0,2949.0,3513.0
DC,2014,436.0,2733.0,3169.0
DC,2015,475.0,2695.0,3170.0
DC,2016,519.0,2996.0,3515.0
DE,2006,12124.0,63356.0,75480.0
DE,2007,12148.0,62272.0,74420.0
DE,2008,11280.0,64491.0,75771.0
DE,2009,10817.0,60551.0,71368.0
DE,2010,11112.0,59350.0,70462.0
DE,2011,11324.0,59001.0,70325.0
DE,2012,10414.0,58254.0,68668.0
DE,2013,9830.0,54840.0,64670.0
DE,2014,10132.0,53179.0,63311.0
DE,2015,10170.0,50924.0,61094.0
DE,2016,9966.0,52839.0,62805.0
IA,2006,26782.0,140578.0,167360.0
IA,2007,22835.0,134984.0,157819.0
IA,2008,21427.0,128676.0,150103.0
IA,2009,21571.0,122825.0,144396.0
IA,2010,20822.0,119344.0,140166.0
IA,2011,22489.0,119923.0,142412.0
IA,2012,20672.0,115802.0,136474.0
IA,2013,19618.0,112262.0,131880.0
IA,2014,20152.0,106894.0,127046.0
IA,2015,21236.0,111379.0,132615.0
IA,2016,21189.0,115057.0,136246.0
ID,2006,12863.0,66410.0,79273.0
ID,2007,12315.0,66462.0,78777.0
ID,2008,10887.0,62733.0,73620.0
ID,2009,10897.0,60955.0,71852.0
ID,2010,10262.0,60304.0,70566.0
ID,2011,11282.0,60359.0,71641.0
ID,2012,10709.0,59448.0,70157.0
ID,2013,10358.0,57861.0,68219.0
ID,2014,10207.0,57305.0,67512.0
ID,2015,9735.0,57349.0,67084.0
ID,2016,10625.0,58380.0,69005.0
IL,2006,3693.0,20695.0,24388.0
IL,2007,3281.0,19101.0,22382.0
IL,2008,3132.0,18634.0,21766.0
IL,2009,2930.0,16822.0,19752.0
IL,2010,2514.0,15841.0,18355.0
IL,2011,2649.0,14165.0,16814.0
