year,state_abbr,American Indian or Alaska Native,Asian,Black or African American,White,total_crimes
2006,AL,932,892,1265,1542,4639
2007,AL,922,917,1346,1566,4762
2008,AL,889,908,1316,1506,4629
2009,AL,792,789,1203,1572,4370
2010,AL,734,771,1213,1428,4152
2011,AL,769,742,1234,1367,4123
2012,AL,719,711,1202,1395,4035
2013,AL,758,845,1351,1474,4429
2014,AL,695,694,1140,1341,3871
2015,AL,804,783,1318,1486,4392
2016,AL,595,604,899,959,3057
2006,AR,25918,25747,36943,44983,133968
2007,AR,28513,28085,39266,50103,146441
2008,AR,31688,31802,44260,58334,166632
2009,AR,41283,41098,56731,71363,211118
2010,AR,40358,39838,54941,70203,205948
2011,AR,41376,41735,56705,71543,212009
2012,AR,40541,40474,56435,71651,209791
2013,AR,37819,38195,52404,67317,196081
2014,AR,34485,34216,48424,63326,180809
2015,AR,35430,35348,50535,67370,189091
2016,AR,37213,37190,53043,72340,200224
2006,AZ,1049,1113,1114,2453,5737
2007,AZ,1262,1267,1293,2757,6591
2008,AZ,1365,1358,1349,2879,6971
2009,AZ,2582,2642,2803,6168,14241
2010,AZ,2482,2306,2656,6322,13836
2011,AZ,2161,2210,2438,5927,12805
2012,AZ,2232,2263,2385,5669,12623
2013,AZ,3678,3483,3834,8808,19899
2014,AZ,3475,3294,3655,8955,19467
2015,AZ,3289,3122,3456,8222,18174
2016,AZ,2979,2738,3244,7801,16847
2006,CO,44917,44610,53154,98357,241826
2007,CO,40493,39884,48219,92122,221426
2008,CO,40219,39377,48201,94600,223271
2009,CO,39255,39220,47542,93755,220594
2010,CO,39910,39627,47597,93826,221789
2011,CO,41112,39946,48610,96194,226725
2012,CO,46412,46343,55257,109593,258486
2013,CO,45796,45926,54830,106063,252930
2014,CO,44169,44090,54650,110020,253328
2015,CO,46740,46975,57511,115809,267542
2016,CO,49381,49333,59984,119220,278441
2006,CT,12439,12630,17859,30168,73576
2007,CT,15000,15139,22448,34806,87965
2008,CT,17252,17597,27416,43723,106845
2009,CT,16523,16542,26611,41214,101628
2010,CT,16372,16408,26033,40637,100299
2011,CT,15990,16159,25219,39796,97947
2012,CT,16287,16228,24859,38297,96357
2013,CT,14985,15428,24123,36064,91061
2014,CT,15130,15066,23114,35748,89445
2015,CT,15086,15205,23437,35113,89298
2016,CT,16329,16770,25696,38164,97560
2006,DC,534,513,964,594,2608
2007,DC,562,592,996,671,2823
2008,DC,634,657,1095,714,3102
2009,DC,630,711,1286,752,3381
2010,DC,719,771,1477,833,3803
2011,DC,593,575,1252,689,3112
2012,DC,598,582,1261,620,3061
2013,DC,642,652,1474,745,3513
2014,DC,567,541,1450,611,3169
2015,DC,566,596,1382,626,3170
2016,DC,581,586,1626,722,3515
2006,DE,12372,12296,24103,26607,75480
2007,DE,12043,11890,24829,25560,74420
2008,DE,12056,12070,25287,26283,75771
2009,DE,10994,10931,23433,25938,71368
2010,DE,11419,11359,23177,24419,70462
2011,DE,11323,11261,22965,24650,70325
2012,DE,10440,10593,22952,24564,68668
2013,DE,9598,9666,21041,24335,64670
2014,DE,9323,9520,21361,23077,63311
2015,DE,8928,9324,20748,22064,61094
2016,DE,9931,9821,21302,21690,62805
2006,IA,31890,31342,39319,64323,167360
2007,IA,29529,29047,37349,61401,157819
2008,IA,28017,27438,35434,58666,150103
2009,IA,26156,25874,33996,57732,144396
2010,IA,25127,25016,32853,56542,140166
2011,IA,25506,25542,33573,57144,142412
2012,IA,24469,24440,32051,54886,136474
2013,IA,22900,22649,31280,54755,131880
2014,IA,21963,22216,30168,52392,127046
2015,IA,23074,23146,31537,54502,132615
2016,IA,24112,24324,32529,54936,136246
2006,ID,14328,13509,13983,36896,79273
2007,ID,13879,13557,13864,36816,78777
2008,ID,12841,12264,12741,35033,73620
2009,ID,12402,11911,12368,34359,71852
2010,ID,11892,11623,12095,34117,70566
2011,ID,12026,11629,12196,34871,71641
2012,ID,11800,11439,11960,33882,70157
2013,ID,11315,10902,11654,32897,68219
2014,ID,11336,11012,11359,32003,67512
2015,ID,10805,10762,10993,32583,67084
2016,ID,11464,11014,11409,32564,69005
2006,IL,4704,4690,7639,7315,24388
2007,IL,4342,4345,6938,6721,22382
2008,IL,4199,4242,6767,6523,21766
2009,IL,3801,3864,6224,5830,19752
2010,IL,3599,3629,5633,5446,18355
2011,IL,3259,3319,5090,5110,16814
2012,IL,3176,3266,5283,5024,16777
2013,IL,3007,3055,4913,4635,15618
2014,IL,2826,2806,4757,4361,14765
2015,IL,2821,2771,4469,4211,14291
2016,IL,2606,2570,4400,4054,13639
2013,IN,11,14,14,15,54
2014,IN,897,977,1293,2207,5407
2015,IN,1003,1024,1329,2239,5636
2016,IN,1204,1233,1627,3089,7205
2006,KS,33189,32757,38910,55492,160563
2007,KS,32758,32759,38861,57566,162173
2008,KS,31763,31937,37763,58528,160212
2009,KS,29098,29179,35822,54999,149342
2010,KS,29638,29124,35101,56393,150552
2011,KS,29626,29108,35407,55737,150167
2012,KS,30364,29789,35967,57517,153880
2013,KS,27780,27869,33246,54622,143517
2014,KS,24952,24864,29885,48956,128657
2015,KS,24721,24936,30164,48107,127928
2016,KS,26903,27001,31889,49552,135345
2006,KY,2820,2821,3556,6017,15222
2007,KY,1858,1867,2318,4145,10202
2008,KY,2270,2302,3115,5936,13640
