year,state,code,crime,Total,bin
2008,Alabama,AL,4629,4526900,"(3000000, 6000000]"
2008,Arizona,AZ,6971,6363000,"(6000000, 8000000]"
2008,Arkansas,AR,166632,2769700,"(530000, 3000000]"
2008,Colorado,CO,223271,4816700,"(3000000, 6000000]"
2008,Connecticut,CT,106845,3383800,"(3000000, 6000000]"
2008,Delaware,DE,75771,844200,"(530000, 3000000]"
2008,District of Columbia,DC,3102,558900,"(530000, 3000000]"
2008,Idaho,ID,73620,1484300,"(530000, 3000000]"
2008,Illinois,IL,21766,12556000,"(11000000, 14000000]"
2008,Iowa,IA,150103,2894000,"(530000, 3000000]"
2008,Kansas,KS,160212,2701400,"(530000, 3000000]"
2008,Kentucky,KY,13640,4143600,"(3000000, 6000000]"
2008,Louisiana,LA,32536,4273800,"(3000000, 6000000]"
2008,Maine,ME,16583,1274100,"(530000, 3000000]"
2008,Massachusetts,MA,257174,6265100,"(6000000, 8000000]"
2008,Michigan,MI,634990,9764400,"(8000000, 11000000]"
2008,Missouri,MO,451,5728200,"(3000000, 6000000]"
2008,Nebraska,NE,29240,1721000,"(530000, 3000000]"
2008,New Hampshire,NH,64456,1275300,"(530000, 3000000]"
2008,North Dakota,ND,27737,610300,"(530000, 3000000]"
2008,Ohio,OH,527244,11157500,"(11000000, 14000000]"
2008,Oklahoma,OK,22507,3508800,"(3000000, 6000000]"
2008,Oregon,OR,68412,3711900,"(3000000, 6000000]"
2008,Rhode Island,RI,61034,1009400,"(530000, 3000000]"
2008,South Carolina,SC,411792,4318400,"(3000000, 6000000]"
2008,South Dakota,SD,29324,769900,"(530000, 3000000]"
2008,Tennessee,TN,553008,6045200,"(6000000, 8000000]"
2008,Texas,TX,259871,23643000,"(22000000, 25000000]"
2008,Utah,UT,155313,2686800,"(530000, 3000000]"
2008,Vermont,VT,28669,599100,"(530000, 3000000]"
2008,Washington,WA,72790,6370500,"(6000000, 8000000]"
2008,West Virginia,WV,93749,1765200,"(530000, 3000000]"
2009,Alabama,AL,4370,4569100,"(3000000, 6000000]"
2009,Arizona,AZ,14241,6457900,"(6000000, 8000000]"
2009,Arkansas,AR,211118,2796100,"(530000, 3000000]"
2009,Colorado,CO,220594,4891000,"(3000000, 6000000]"
2009,Connecticut,CT,101628,3403200,"(3000000, 6000000]"
2009,Delaware,DE,71368,855500,"(530000, 3000000]"
2009,District of Columbia,DC,3381,567800,"(530000, 3000000]"
2009,Idaho,ID,71852,1507700,"(530000, 3000000]"
2009,Illinois,IL,19752,12558400,"(11000000, 14000000]"
2009,Iowa,IA,144396,2902600,"(530000, 3000000]"
2009,Kansas,KS,149342,2716000,"(530000, 3000000]"
2009,Kentucky,KY,117248,4173500,"(3000000, 6000000]"
2009,Louisiana,LA,31053,4352400,"(3000000, 6000000]"
2009,Maine,ME,15125,1273900,"(530000, 3000000]"
2009,Massachusetts,MA,250613,6358100,"(6000000, 8000000]"
2009,Michigan,MI,617838,9724300,"(8000000, 11000000]"
2009,Missouri,MO,3297,5805900,"(3000000, 6000000]"
2009,Nebraska,NE,30031,1731300,"(530000, 3000000]"
2009,New Hampshire,NH,66018,1282900,"(530000, 3000000]"
2009,North Dakota,ND,27371,615400,"(530000, 3000000]"
2009,Ohio,OH,528345,11207100,"(11000000, 14000000]"
2009,Oklahoma,OK,25800,3544100,"(3000000, 6000000]"
2009,Oregon,OR,64911,3743600,"(3000000, 6000000]"
2009,Rhode Island,RI,57612,1011800,"(530000, 3000000]"
2009,South Carolina,SC,388109,4393700,"(3000000, 6000000]"
2009,South Dakota,SD,30192,781400,"(530000, 3000000]"
2009,Tennessee,TN,532500,6116600,"(6000000, 8000000]"
2009,Texas,TX,254035,24096900,"(22000000, 25000000]"
2009,Utah,UT,150440,2733400,"(530000, 3000000]"
2009,Vermont,VT,28078,599600,"(530000, 3000000]"
2009,Virginia,VA,443816,7512800,"(6000000, 8000000]"
2009,Washington,WA,72355,6486600,"(6000000, 8000000]"
2009,West Virginia,WV,91566,1768900,"(530000, 3000000]"
2010,Alabama,AL,4152,4651400,"(3000000, 6000000]"
2010,Arizona,AZ,13836,6256900,"(6000000, 8000000]"
2010,Arkansas,AR,205948,2834000,"(530000, 3000000]"
2010,Colorado,CO,221789,4916200,"(3000000, 6000000]"
2010,Connecticut,CT,100299,3463700,"(3000000, 6000000]"
2010,Delaware,DE,70462,871700,"(530000, 3000000]"
2010,District of Columbia,DC,3803,570200,"(530000, 3000000]"
2010,Idaho,ID,70566,1538900,"(530000, 3000000]"
2010,Illinois,IL,18355,12536400,"(11000000, 14000000]"
2010,Iowa,IA,140166,2948200,"(530000, 3000000]"
2010,Kansas,KS,150552,2761000,"(530000, 3000000]"
2010,Kentucky,KY,124835,4207100,"(3000000, 6000000]"
2010,Louisiana,LA,38524,4400400,"(3000000, 6000000]"
2010,Maine,ME,15069,1290600,"(530000, 3000000]"
2010,Massachusetts,MA,252701,6328400,"(6000000, 8000000]"
2010,Michigan,MI,597205,9657600,"(8000000, 11000000]"
2010,Missouri,MO,59637,5802000,"(3000000, 6000000]"
2010,Nebraska,NE,29826,1771000,"(530000, 3000000]"
2010,New Hampshire,NH,67344,1276000,"(530000, 3000000]"
2010,North Dakota,ND,26799,647200,"(530000, 3000000]"
2010,Ohio,OH,528198,11215700,"(11000000, 14000000]"
2010,Oklahoma,OK,25889,3635500,"(3000000, 6000000]"
2010,Oregon,OR,66105,3764000,"(3000000, 6000000]"
2010,Rhode Island,RI,56755,1009200,"(530000, 3000000]"
2010,South Carolina,SC,383737,4476500,"(3000000, 6000000]"
2010,South Dakota,SD,31049,787000,"(530000, 3000000]"
2010,Tennessee,TN,515960,6186200,"(6000000, 8000000]"
2010,Texas,TX,235651,24584400,"(22000000, 25000000]"
2010,Utah,UT,145483,2724100,"(530000, 3000000]"
2010,Vermont,VT,25484,599500,"(530000, 3000000]"
2010,Virginia,VA,433182,7703800,"(6000000, 8000000]"
2010,Washington,WA,85047,6575900,"(6000000, 8000000]"
2010,West Virginia,WV,76318,1799000,"(530000, 3000000]"
2011,Alabama,AL,4123,4676000,"(3000000, 6000000]"
2011,Arizona,AZ,12805,6324500,"(6000000, 8000000]"
2011,Arkansas,AR,212009,2849500,"(530000, 3000000]"
2011,Colorado,CO,226725,4983900,"(3000000, 6000000]"
2011,Connecticut,CT,97947,3466400,"(3000000, 6000000]"
2011,Delaware,DE,70325,880100,"(530000, 3000000]"
