"Title: Population Distribution by Age | KFF"
"Timeframe: 2013"
"Location","Total",Footnotes
"United States","307505500","1"
"Alabama","4705800"
"Alaska","705100"
"Arizona","6465700"
"Arkansas","2868600"
"California","37511300"
"Colorado","5130200"
"Connecticut","3479000"
"Delaware","898500"
"District of Columbia","610300"
"Florida","19093200"
"Georgia","9690900"
"Hawaii","1331500"
"Idaho","1580900"
"Illinois","12571100"
"Indiana","6366500"
"Iowa","2990300"
"Kansas","2796500"
"Kentucky","4260900"
"Louisiana","4483200"
"Maine","1291900"
"Maryland","5767500"
"Massachusetts","6451500"
"Michigan","9664300"
"Minnesota","5287800"
"Mississippi","2889200"
"Missouri","5853100"
"Montana","986300"
"Nebraska","1811200"
"Nevada","2745400"
"New Hampshire","1280700"
"New Jersey","8716900"
"New Mexico","2040200"
"New York","19119600"
"North Carolina","9522500"
"North Dakota","693500"
"Ohio","11239600"
"Oklahoma","3726900"
"Oregon","3851600"
"Pennsylvania","12344300"
"Rhode Island","1008600"
"South Carolina","4616200"
"South Dakota","811600"
"Tennessee","6318700"
"Texas","25773000"
"Utah","2849400"
"Vermont","6.03E+05"
"Virginia","7945700"
"Washington","6797800"
"West Virginia","1798200"
"Wisconsin","5592500"
"Wyoming","567300"
"Puerto Rico","3582000"

"Notes"
"For more current data using the Current Population Survey, see [Population Distribution by Age (CPS)](https://www.kff.org/other/state-indicator/population-distribution-by-age-cps/). "
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information.    "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
