,State,Total,Year,Code
0,Alabama,4526900.0,2008,AL
1,Alabama,4569100.0,2009,AL
2,Alabama,4651400.0,2010,AL
3,Alabama,4676000.0,2011,AL
4,Alabama,4696000.0,2012,AL
5,Alabama,4705800.0,2013,AL
6,Alabama,4714100.0,2014,AL
7,Alabama,4730100.0,2015,AL
8,Alabama,4730100.0,2016,AL
9,Alabama,4741400.0,2017,AL
10,Alabama,4752600.0,2018,AL
11,Alabama,4767100.0,2019,AL
12,Alaska,654700.0,2008,AK
13,Alaska,668900.0,2009,AK
14,Alaska,684600.0,2010,AK
15,Alaska,697100.0,2011,AK
16,Alaska,706200.0,2012,AK
17,Alaska,705100.0,2013,AK
18,Alaska,706600.0,2014,AK
19,Alaska,707500.0,2015,AK
20,Alaska,714900.0,2016,AK
21,Alaska,710100.0,2017,AK
22,Alaska,709100.0,2018,AK
23,Alaska,701700.0,2019,AK
24,Arizona,6363000.0,2008,AZ
25,Arizona,6457900.0,2009,AZ
26,Arizona,6256900.0,2010,AZ
27,Arizona,6324500.0,2011,AZ
28,Arizona,6386300.0,2012,AZ
29,Arizona,6465700.0,2013,AZ
30,Arizona,6556200.0,2014,AZ
31,Arizona,6655100.0,2015,AZ
32,Arizona,6760900.0,2016,AZ
33,Arizona,6841300.0,2017,AZ
34,Arizona,7004300.0,2018,AZ
35,Arizona,7098000.0,2019,AZ
36,Arkansas,2769700.0,2008,AR
37,Arkansas,2796100.0,2009,AR
38,Arkansas,2834000.0,2010,AR
39,Arkansas,2849500.0,2011,AR
40,Arkansas,2860200.0,2012,AR
41,Arkansas,2868600.0,2013,AR
42,Arkansas,2880000.0,2014,AR
43,Arkansas,2882300.0,2015,AR
44,Arkansas,2895400.0,2016,AR
45,Arkansas,2910000.0,2017,AR
46,Arkansas,2921300.0,2018,AR
47,Arkansas,2922500.0,2019,AR
48,California,35882000.0,2008,CA
49,California,36094800.0,2009,CA
50,California,36515700.0,2010,CA
51,California,36862800.0,2011,CA
52,California,37221500.0,2012,CA
53,California,37511300.0,2013,CA
54,California,37981600.0,2014,CA
55,California,38325100.0,2015,CA
56,California,38442400.0,2016,CA
57,California,38713900.0,2017,CA
58,California,38745900.0,2018,CA
59,California,38642700.0,2019,CA
60,Colorado,4816700.0,2008,CO
61,Colorado,4891000.0,2009,CO
62,Colorado,4916200.0,2010,CO
63,Colorado,4983900.0,2011,CO
64,Colorado,5045900.0,2012,CO
65,Colorado,5130200.0,2013,CO
66,Colorado,5217000.0,2014,CO
67,Colorado,5315400.0,2015,CO
68,Colorado,5398100.0,2016,CO
69,Colorado,5461100.0,2017,CO
70,Colorado,5555200.0,2018,CO
71,Colorado,5611800.0,2019,CO
72,Connecticut,3383800.0,2008,CT
73,Connecticut,3403200.0,2009,CT
74,Connecticut,3463700.0,2010,CT
75,Connecticut,3466400.0,2011,CT
76,Connecticut,3479300.0,2012,CT
77,Connecticut,3479000.0,2013,CT
78,Connecticut,3480400.0,2014,CT
79,Connecticut,3478100.0,2015,CT
80,Connecticut,3465100.0,2016,CT
81,Connecticut,3478700.0,2017,CT
82,Connecticut,3466300.0,2018,CT
83,Connecticut,3453300.0,2019,CT
84,Delaware,844200.0,2008,DE
85,Delaware,855500.0,2009,DE
86,Delaware,871700.0,2010,DE
87,Delaware,880100.0,2011,DE
88,Delaware,888000.0,2012,DE
89,Delaware,898500.0,2013,DE
90,Delaware,905300.0,2014,DE
91,Delaware,918300.0,2015,DE
92,Delaware,924300.0,2016,DE
93,Delaware,931700.0,2017,DE
94,Delaware,937700.0,2018,DE
95,Delaware,940300.0,2019,DE
96,District of Columbia,558900.0,2008,DC
97,District of Columbia,567800.0,2009,DC
98,District of Columbia,570200.0,2010,DC
99,District of Columbia,583900.0,2011,DC
100,District of Columbia,596000.0,2012,DC
